,driver,year,GP,fp1,fp1+,fp2,fp2+,fp3,fp3+,q1,q1+,q2,q2+,q3,q3+,r
120,Rosberg,2016,Monaco,75.638,0.10099999999999909,75.506,0.8990000000000009,74.772,0.12199999999999989,74.873,0.26300000000000523,74.043,0.0,73.791,0.16899999999999693,7.0
121,Hamilton,2016,Monaco,75.537,0.0,75.213,0.6059999999999945,74.668,0.018000000000000682,74.826,0.21599999999999397,74.056,0.012999999999991019,73.94200000000001,0.3200000000000074,1.0
122,Ricciardo,2016,Monaco,76.30799999999999,0.7709999999999866,74.607,0.0,74.807,0.15699999999999648,74.912,0.3020000000000067,74.357,0.31399999999999295,73.622,0.0,2.0
123,Vettel,2016,Monaco,75.956,0.41899999999999693,76.269,1.6620000000000061,74.65,0.0,74.61,0.0,74.318,0.2749999999999915,74.55199999999999,0.9299999999999926,4.0
124,Verstappen,2016,Monaco,76.371,0.833999999999989,75.571,0.9639999999999986,75.081,0.4309999999999974,82.467,7.856999999999999,,,,,18.0
125,RÃ¤ikkÃ¶nen,2016,Monaco,76.912,1.375,76.03999999999999,1.4329999999999927,75.555,0.9050000000000011,75.499,0.8889999999999958,74.789,0.7459999999999951,74.732,1.1099999999999994,21.0
126,Perez,2016,Monaco,76.697,1.1599999999999966,76.12,1.5130000000000052,75.368,0.7179999999999893,75.328,0.7180000000000035,74.937,0.8939999999999912,74.902,1.2800000000000011,3.0
127,Bottas,2016,Monaco,77.562,2.0249999999999915,76.849,2.2420000000000044,76.34700000000001,1.6970000000000027,75.521,0.9110000000000014,75.273,1.2299999999999898,,,12.0
128,Hulkenberg,2016,Monaco,76.56,1.0229999999999961,76.487,1.8799999999999955,75.666,1.0159999999999911,75.333,0.722999999999999,74.989,0.945999999999998,74.726,1.1039999999999992,6.0
129,Alonso,2016,Monaco,77.838,2.3009999999999877,76.723,2.1159999999999997,76.257,1.6069999999999993,75.504,0.8940000000000055,75.107,1.063999999999993,75.363,1.7409999999999997,5.0
130,Massa,2016,Monaco,78.746,3.208999999999989,77.286,2.679000000000002,76.068,1.4179999999999922,75.71000000000001,1.1000000000000085,75.385,1.3419999999999987,,,10.0
131,Sainz,2016,Monaco,77.13,1.5929999999999893,75.981,1.3739999999999952,75.324,0.6739999999999924,75.467,0.8569999999999993,74.805,0.7620000000000005,74.749,1.1269999999999953,8.0
132,Grosjean,2016,Monaco,77.599,2.0619999999999976,76.874,2.266999999999996,76.527,1.8769999999999953,75.465,0.855000000000004,75.571,1.5279999999999916,,,13.0
133,Kvyat,2016,Monaco,76.426,0.8889999999999958,75.815,1.2079999999999984,75.259,0.6089999999999947,75.384,0.7740000000000009,74.794,0.7509999999999906,75.273,1.6509999999999962,20.0
134,Button,2016,Monaco,77.92,2.3829999999999956,76.325,1.7180000000000035,76.298,1.6479999999999961,75.554,0.9440000000000026,75.352,1.3089999999999975,,,9.0
135,Magnussen,2016,Monaco,78.274,2.7369999999999948,77.53,2.923000000000002,76.412,1.7620000000000005,76.253,1.6430000000000007,76.05799999999999,2.0149999999999864,,,19.0
136,Nasr,2016,Monaco,78.187,2.6499999999999915,77.999,3.391999999999996,76.867,2.2169999999999987,,,,,,,17.0
137,Palmer,2016,Monaco,78.871,3.333999999999989,77.761,3.1539999999999964,77.482,2.8319999999999936,76.586,1.975999999999999,,,,,22.0
138,Wehrlein,2016,Monaco,80.868,5.330999999999989,78.814,4.206999999999994,77.595,2.944999999999993,77.452,2.8419999999999987,,,,,14.0
139,Vandoorne,2016,Monaco,,,,,,,,,,,,,
140,Gutierrez ,2016,Monaco,77.90899999999999,2.3719999999999857,76.782,2.174999999999997,76.406,1.7560000000000002,75.592,0.9819999999999993,75.293,1.25,,,11.0
141,Ericsson,2016,Monaco,78.301,2.763999999999996,77.562,2.9549999999999983,77.038,2.387999999999991,76.299,1.6890000000000072,,,,,16.0
142,Ocon,2016,Monaco,,,,,,,,,,,,,
143,Haryanto,2016,Monaco,80.52799999999999,4.9909999999999854,78.64699999999999,4.039999999999992,78.18,3.530000000000001,77.295,2.6850000000000023,,,,,15.0
144,Rosberg,2016,Canada,75.086,0.33100000000000307,74.738,0.5259999999999962,74.316,0.39700000000000557,73.714,0.0,73.094,0.018000000000000682,72.874,0.06199999999999761,5.0
145,Hamilton,2016,Canada,74.755,0.0,74.212,0.0,74.334,0.41500000000000625,74.121,0.4069999999999965,73.076,0.0,72.812,0.0,1.0
146,Ricciardo,2016,Canada,76.73400000000001,1.9790000000000134,75.168,0.9560000000000031,74.487,0.5679999999999978,74.03,0.3160000000000025,73.53999999999999,0.46399999999999864,73.166,0.3539999999999992,7.0
147,Vettel,2016,Canada,75.243,0.48799999999999955,74.469,0.2569999999999908,73.919,0.0,73.925,0.21099999999999852,73.857,0.7810000000000059,72.99,0.17799999999999727,2.0
148,Verstappen,2016,Canada,75.553,0.7980000000000018,75.156,0.9440000000000026,74.158,0.23900000000000432,74.601,0.8870000000000005,73.793,0.717000000000013,73.414,0.6020000000000039,4.0
149,RÃ¤ikkÃ¶nen,2016,Canada,75.618,0.8629999999999995,75.234,1.0219999999999914,74.332,0.4129999999999967,74.477,0.7630000000000052,73.849,0.7730000000000103,73.57900000000001,0.7670000000000101,6.0
150,Perez,2016,Canada,76.577,1.8220000000000027,75.493,1.2809999999999917,74.886,0.9669999999999987,74.814,1.0999999999999943,74.31700000000001,1.2410000000000139,,,10.0
151,Bottas,2016,Canada,76.301,1.5460000000000065,75.213,1.0009999999999906,74.985,1.0660000000000025,74.389,0.6749999999999972,73.791,0.7150000000000034,73.67,0.8580000000000041,3.0
152,Hulkenberg,2016,Canada,76.464,1.7090000000000032,75.321,1.1089999999999947,74.918,0.9990000000000094,74.663,0.9489999999999981,74.166,1.0900000000000034,73.952,1.1400000000000006,8.0
153,Alonso,2016,Canada,76.663,1.9080000000000013,75.45,1.2379999999999995,74.801,0.882000000000005,75.026,1.3119999999999976,74.26,1.1840000000000117,74.338,1.5259999999999962,11.0
154,Massa,2016,Canada,77.065,2.3100000000000023,75.513,1.301000000000002,74.89,0.9710000000000036,74.815,1.100999999999999,73.864,0.7880000000000109,73.769,0.9570000000000078,20.0
155,Sainz,2016,Canada,76.543,1.788000000000011,75.41,1.1979999999999933,74.655,0.7360000000000042,74.714,1.0,81.956,8.88000000000001,,,9.0
156,Grosjean,2016,Canada,77.008,2.253,76.093,1.8810000000000002,75.70400000000001,1.7850000000000108,75.444,1.730000000000004,74.803,1.7270000000000039,,,14.0
157,Kvyat,2016,Canada,77.31,2.555000000000007,75.559,1.3469999999999942,75.199,1.2800000000000011,74.82900000000001,1.115000000000009,74.457,1.3810000000000002,,,12.0
158,Button,2016,Canada,76.788,2.0330000000000013,75.213,1.0009999999999906,75.023,1.1039999999999992,74.755,1.0409999999999968,74.437,1.3610000000000042,,,22.0
159,Magnussen,2016,Canada,78.40899999999999,3.6539999999999964,76.255,2.042999999999992,76.08500000000001,2.166000000000011,,,,,,,16.0
160,Nasr,2016,Canada,77.855,3.1000000000000085,76.582,2.3699999999999903,76.326,2.4069999999999965,76.663,2.948999999999998,,,,,18.0
161,Palmer,2016,Canada,78.583,3.828000000000003,77.001,2.7890000000000015,75.656,1.737000000000009,75.459,1.7450000000000045,,,,,21.0
162,Wehrlein,2016,Canada,78.453,3.6980000000000075,77.023,2.810999999999993,76.622,2.703000000000003,75.599,1.8850000000000051,,,,,17.0
163,Vandoorne,2016,Canada,,,,,,,,,,,,,
164,Gutierrez ,2016,Canada,77.319,2.564000000000007,76.59100000000001,2.379000000000005,75.444,1.5250000000000057,75.148,1.4339999999999975,74.571,1.4950000000000045,,,13.0
165,Ericsson,2016,Canada,78.129,3.3740000000000094,76.902,2.6899999999999977,76.078,2.159000000000006,75.635,1.9210000000000065,,,,,15.0
166,Ocon,2016,Canada,,,,,,,,,,,,,
167,Haryanto,2016,Canada,78.10300000000001,3.348000000000013,77.423,3.2109999999999985,76.901,2.9819999999999993,77.05199999999999,3.337999999999994,,,,,19.0
168,Rosberg,2016,Europe,106.812,0.37699999999999534,104.913,0.6899999999999977,104.61,0.25799999999999557,103.685,0.0,102.52000000000001,0.0,102.75800000000001,0.0,1.0
169,Hamilton,2016,Europe,106.435,0.0,104.223,0.0,104.352,0.0,104.259,0.5739999999999981,103.52600000000001,1.0060000000000002,121.954,19.195999999999984,5.0
